,criterion,splitter,max_depth,max_features,rsme
499,mse,best,,0.1,0.2882216911806503
500,mse,best,1.0,0.36,0.09629493855270024
501,mse,best,3.0,0.23,0.09632861178885131
502,mse,best,6.0,0.23,0.09690397541776151
503,friedman_mse,random,2.0,0.84,0.09528472296271617
504,mse,best,8.0,0.58,0.09822088826855832
505,mae,random,1.0,0.6,0.09717740520020544
506,mse,best,9.0,0.16,0.09791414784863353
507,mae,best,4.0,0.27,0.09810729651328537
508,friedman_mse,random,6.0,0.41,0.09817496421140964
509,mae,best,7.0,0.95,0.09797656602159152
510,friedman_mse,best,1.0,0.98,0.09724908546645859
511,mse,random,1.0,0.69,0.0966114618467881
512,mae,random,2.0,0.33,0.09684560353738225
513,friedman_mse,random,3.0,0.32,0.0952013657688185
514,friedman_mse,random,7.0,0.67,0.15365015090262318
515,mse,random,5.0,0.48,0.09805159725544327
516,mse,best,7.0,0.99,0.13635262883292806
517,friedman_mse,best,,0.57,0.09693392699294832
518,mse,best,6.0,0.64,0.0974144915956879
519,mae,best,6.0,0.57,0.09898973642266913
520,mse,best,6.0,0.46,0.09725352582389518
521,mse,best,2.0,0.25,0.09605040950217705
522,friedman_mse,best,8.0,0.95,0.1494438792265015
523,mae,best,3.0,0.65,0.10032773187401742
524,friedman_mse,best,8.0,0.78,0.09749248503055738
525,mse,random,1.0,0.26,0.09584080464858946
526,friedman_mse,random,7.0,0.43,0.09542390155510448
527,mae,random,8.0,0.33,0.09608711957624454
528,mae,random,5.0,0.64,0.09531991625307903
529,mae,best,2.0,0.55,0.09741822888076417
530,mse,best,1.0,0.55,0.09653381296903109
531,friedman_mse,best,8.0,0.49,0.10425640636834074
532,mae,random,4.0,0.7,0.09494218721817956
533,mae,random,7.0,0.41,0.09644292129603856
534,mse,best,9.0,0.71,0.10557304282070831
535,mse,random,,0.32,0.1815213804982447
536,friedman_mse,best,3.0,0.36,0.10464668606853654
537,mae,random,3.0,0.65,0.09674969985300033
538,mse,best,5.0,0.81,0.09948329213221005
539,friedman_mse,best,9.0,0.3,0.09747724081983752
540,friedman_mse,best,2.0,0.4,0.09693658293405284
541,mae,best,3.0,0.62,0.0962389356564514
542,friedman_mse,random,9.0,0.65,0.09670409991463795
543,mse,random,,0.52,0.09653982164846119
544,friedman_mse,best,9.0,0.76,0.09873410784537293
545,friedman_mse,random,8.0,0.22,0.09891898042910025
546,mse,best,4.0,0.83,0.10600634736504361
547,friedman_mse,best,9.0,0.36,0.09909336452806915
548,mae,best,2.0,0.64,0.09455361813987741
549,mae,best,6.0,0.58,0.10337930343840973
550,friedman_mse,best,9.0,0.56,0.09820357909709979
551,mse,best,6.0,0.32,0.09964212802640977
552,mae,random,2.0,0.27,0.09665062541858409
553,friedman_mse,best,8.0,0.33,0.09588188029821146
554,friedman_mse,best,2.0,0.86,0.09557710162885964
555,mae,random,4.0,0.73,0.09691779733969166
556,mae,random,3.0,0.24,0.0961845519672663
557,mse,random,8.0,0.43,0.0967281473635813
558,mae,best,7.0,0.18,0.09675195650861561
559,mse,best,1.0,0.33,0.09526531431982771
560,mae,best,6.0,0.38,0.10402118087412363
561,friedman_mse,best,3.0,0.5,0.09612893313516346
562,friedman_mse,best,,0.31,0.1105901177765202
563,mse,random,,0.15,0.11867108734021665
564,mae,best,4.0,0.63,0.1014865082504457
565,mae,random,,0.71,0.10864520236350735
566,mae,random,8.0,0.86,0.09640929545052006
567,friedman_mse,random,1.0,0.3,0.09509963892906394
568,friedman_mse,random,8.0,0.89,0.10304136003563656
569,friedman_mse,best,1.0,0.97,0.09713863825078244
570,friedman_mse,random,7.0,0.9,0.11695439888826174
571,mse,best,,0.21,0.09894961111754609
572,friedman_mse,random,1.0,0.94,0.09550788693907393
573,mae,random,4.0,0.84,0.0975293584335598
574,friedman_mse,random,,0.68,0.09509446310167267
575,mae,best,,0.68,0.10613564983348257
576,friedman_mse,best,5.0,0.67,0.14035670381037557
577,mse,random,9.0,0.11,0.09518278401839414
578,friedman_mse,random,2.0,0.16,0.0966229348633267
579,mae,best,5.0,0.96,0.09688908520359403
580,mae,random,4.0,0.65,0.09698093867780777
581,mse,random,1.0,0.58,0.09502613955957163
582,mae,best,,0.96,0.10365752406713524
583,mse,random,,0.8,0.09570554719352475
584,mae,random,,0.3,0.10929809493630231
585,mae,random,2.0,0.8,0.09646385846829954
586,mae,best,5.0,0.29,0.09953424180375106
587,mse,random,8.0,0.59,0.09746707474783659
588,mse,best,4.0,0.17,0.09705997590711142
589,mse,best,9.0,0.93,0.09689721372515019
590,friedman_mse,best,,0.96,0.0964032446426191
591,friedman_mse,best,,0.72,0.09610891983457515
592,mse,best,1.0,0.56,0.09482596018088273
593,mse,random,4.0,0.79,0.09825840856285759
594,friedman_mse,best,9.0,0.52,0.09621078832004942
595,mae,random,9.0,0.78,0.10053673839358038
596,mse,best,3.0,0.35,0.09496023972356143
597,mse,best,4.0,0.4,0.09781610952646443
598,mae,best,8.0,0.25,0.10186679737493366
599,mse,best,9.0,0.73,0.10000368905160545
600,mae,best,7.0,0.59,0.09729450594910206
601,mse,best,4.0,0.41,0.09615055416420693
602,friedman_mse,random,4.0,0.37,0.12650625463886764
603,mae,best,6.0,0.99,0.09661526330002419
604,mse,random,7.0,0.56,0.09747300466561527
605,mse,random,2.0,0.21,0.09603407960238883
606,friedman_mse,random,2.0,0.66,0.0956205478842163
607,mae,random,1.0,0.3,0.0966086272530829
608,mae,random,7.0,0.77,0.0954929360353996
609,mae,best,3.0,0.53,0.09967227116775781
610,mae,best,4.0,0.13,0.10122997808956252
611,mse,best,4.0,0.76,0.09964995430888035
612,friedman_mse,random,,0.29,0.0957628167648061
613,mse,random,9.0,0.66,0.10235444521508041
614,friedman_mse,best,,0.24,0.10389561887498937
615,mse,random,6.0,0.59,0.09622657538030106
616,friedman_mse,best,6.0,0.91,0.1012631995497918
617,mae,best,4.0,0.83,0.09637073615390977
618,friedman_mse,random,5.0,0.89,0.09615070821391407
619,mse,best,9.0,0.53,0.09489622683096798
620,mae,random,2.0,0.94,0.09683796623526886
621,friedman_mse,best,3.0,0.73,0.09966193331113482
622,mse,random,3.0,0.14,0.09577509865787485
623,mse,best,,0.96,0.09840894228395355
624,mse,best,,0.2,0.10472462046274929
625,mse,random,1.0,0.84,0.09689191962556674
626,mae,random,3.0,0.96,0.09681083336386453
627,mse,random,1.0,0.67,0.09532384392087981
628,friedman_mse,best,4.0,0.97,0.09676327124170538
629,mae,best,7.0,0.69,0.09506355506317278
630,mse,random,2.0,0.23,0.09683910381930354
631,mae,best,3.0,0.25,0.09708571395778855
632,mae,best,,0.27,0.10747439770860938
633,friedman_mse,best,4.0,0.68,0.09768214492683158
634,mae,random,8.0,0.36,0.09625386307207605
635,mae,best,5.0,0.72,0.09646519633284477
636,mse,best,3.0,0.49,0.0964184628506246
637,friedman_mse,best,4.0,0.86,0.09693064795284433
638,mse,best,3.0,0.78,0.09678227550404457
639,mse,best,2.0,0.82,0.0958087622125858
640,friedman_mse,best,9.0,0.52,0.11718448370126054
641,mse,random,8.0,0.66,0.09551039498728095
642,mse,best,3.0,0.43,0.10090159164282789
643,mse,best,4.0,0.18,0.0983709053893826
644,mae,best,6.0,0.75,0.09640441456208851
645,mae,best,1.0,0.65,0.09665458601641247
646,mse,random,1.0,0.42,0.09484649245027359
647,friedman_mse,random,5.0,0.14,0.09568788408846364
648,friedman_mse,random,2.0,0.88,0.09620618914866604
649,friedman_mse,random,4.0,0.98,0.09689500243997963
650,mae,best,4.0,0.92,0.09768946124644026
651,mse,best,9.0,0.31,0.10742253226640758
652,friedman_mse,best,,0.79,0.09914268956032415
653,friedman_mse,random,3.0,0.79,0.09658034112258962
654,mae,best,6.0,0.89,0.10099159925219756
655,friedman_mse,random,6.0,0.11,0.09580790339000872
656,friedman_mse,random,9.0,0.99,0.09496528770398625
657,friedman_mse,random,8.0,0.49,0.10060282579790583
658,friedman_mse,random,9.0,0.58,0.09783340697826728
659,mae,random,2.0,0.16,0.09743290983452498
660,friedman_mse,random,1.0,0.21,0.11027880559882024
661,friedman_mse,random,,0.99,0.09541260755106777
662,friedman_mse,best,8.0,0.65,0.10254989681665157
663,mse,random,,0.45,0.12077807091410012
664,mse,best,6.0,0.4,0.09754563854990705
665,friedman_mse,random,7.0,0.38,0.0958668178806941
666,friedman_mse,random,,0.63,0.12528440969420496
667,friedman_mse,best,1.0,0.82,0.09723740831418622
668,mse,best,1.0,0.95,0.09690367611558859
669,mae,random,8.0,0.53,0.09767391465570024
670,mae,best,8.0,0.41,0.09937630584717817
671,mse,random,5.0,0.4,0.10084431342001647
672,mae,random,6.0,0.22,0.09567527938082439
673,friedman_mse,random,6.0,0.87,0.09363464420540264
674,mse,best,3.0,0.86,0.09669552305435963
675,mse,random,4.0,0.76,0.09630972086831212
676,mae,random,8.0,0.72,0.10048797441384763
677,mae,random,4.0,0.43,0.09639468778646833
678,mae,random,7.0,0.25,0.09635728385198368
679,mse,random,8.0,0.91,0.09873359951209058
680,friedman_mse,random,9.0,0.31,0.09758766167238019
681,mse,best,2.0,0.65,0.10248886365298472
682,friedman_mse,random,5.0,0.16,0.09868731783378255
683,friedman_mse,random,7.0,0.93,0.09825198111617939
684,friedman_mse,random,6.0,0.27,0.09906769443458552
685,mae,best,1.0,0.98,0.0985597996430371
686,mae,random,1.0,0.88,0.09590277560608053
687,mae,random,1.0,0.26,0.09656391518254266
688,mse,best,2.0,0.64,0.09680782517799127
689,mse,random,2.0,0.39,0.09541526055555447
690,mse,best,8.0,0.43,0.09699959208202331
691,mse,random,1.0,0.92,0.09628682634119116
692,mae,best,1.0,0.14,0.09393107826223526
693,mae,best,1.0,0.95,0.09791658318892395
694,friedman_mse,best,1.0,0.44,0.09705943862573588
695,mse,random,7.0,0.18,0.09633587194823102
696,mae,best,7.0,0.3,0.09533354448169891
697,mse,best,2.0,0.54,0.0971583884658805
698,friedman_mse,best,3.0,0.73,0.10213051591415286
699,mae,random,7.0,0.86,0.09405737600321462
700,friedman_mse,random,8.0,0.32,0.10151908332679906
701,mae,best,4.0,0.66,0.0970458335079977
702,mse,random,,0.38,0.0965019361244361
703,mae,random,2.0,0.52,0.09572186297488591
704,friedman_mse,random,2.0,0.6,0.09681743583956011
705,mse,random,,0.42,0.09904306671546126
706,mse,best,3.0,0.5,0.09778228281145915
707,mse,random,,0.24,0.11022674792617998
708,mae,best,8.0,0.47,0.09584044020404492
709,mse,best,4.0,0.9,0.0939899226791855
710,friedman_mse,random,9.0,0.37,0.0997569227072018
711,mse,best,4.0,0.91,0.10844001526625739
712,mae,best,2.0,0.86,0.09642346686581918
713,mse,random,2.0,0.64,0.09644961275888513
714,mae,best,1.0,0.42,0.09515976530015423
715,friedman_mse,best,4.0,0.78,0.09927801855721524
716,mse,best,2.0,0.72,0.09684518536433212
717,mse,best,,0.87,0.09823431105189832
718,mse,random,3.0,0.68,0.09469260395422585
719,mse,random,2.0,0.38,0.09593279863932008
720,mae,best,7.0,0.18,0.09915281576511074
721,friedman_mse,random,3.0,0.58,0.0997992282885864
722,mae,random,4.0,0.2,0.09672622534874867
723,mae,random,3.0,0.24,0.09671168703307008
724,friedman_mse,best,7.0,0.31,0.1094732461904564
725,mae,random,1.0,0.25,0.09665803266105663
726,friedman_mse,random,4.0,0.32,0.0956120177718372
727,friedman_mse,random,7.0,0.18,0.0977685529231964
728,mse,best,5.0,0.85,0.0963608293896735
729,mae,best,5.0,0.69,0.12233618152697956
730,mse,random,7.0,0.24,0.09725356994700946
731,friedman_mse,best,1.0,0.77,0.09629234697080426
732,mse,best,5.0,0.78,0.09711528710704682
733,friedman_mse,random,,0.26,0.22465024518121643
734,mae,random,8.0,0.29,0.09948642161784033
735,friedman_mse,best,4.0,0.57,0.15399504049094356
736,friedman_mse,best,7.0,0.12,0.09780868756980962
737,mse,best,6.0,0.2,0.09772898387587292
738,mse,random,5.0,0.74,0.09708914177383673
739,mse,best,9.0,0.41,0.09606306573498022
740,mse,random,9.0,0.22,0.09668143695498009
741,mse,random,9.0,0.16,0.0973304016254462
742,friedman_mse,best,9.0,0.61,0.1001897518075808
743,friedman_mse,best,3.0,0.76,0.10671431102962788
744,mse,best,6.0,0.54,0.09862120554797275
745,mae,random,5.0,0.62,0.09714891851403593
746,friedman_mse,best,2.0,0.51,0.1121014440663825
747,friedman_mse,random,3.0,0.89,0.09604278895228567
748,mse,random,5.0,0.13,0.09563590110637626
749,mae,random,9.0,0.39,0.0974400385740677
750,mae,best,7.0,0.7,0.11385268809256432
751,friedman_mse,best,2.0,0.39,0.09632391168150384
752,friedman_mse,best,5.0,0.93,0.0964996747660448
753,mse,best,8.0,0.25,0.09669278235712739
754,mse,best,3.0,0.38,0.09583074423790403
755,mse,random,3.0,0.61,0.10591791412406376
756,friedman_mse,best,9.0,0.64,0.09730171683316365
757,mae,best,3.0,0.11,0.09767914501568482
758,friedman_mse,random,,0.66,0.19462719304107579
759,mae,best,,0.44,0.09722867183619317
760,mse,best,8.0,0.4,0.09620703185132055
761,friedman_mse,random,,0.85,0.2038125226043284
762,mse,random,1.0,0.61,0.0969936578642863
763,friedman_mse,best,6.0,0.85,0.10015099959556341
764,mse,random,4.0,0.15,0.09502293180436601
765,friedman_mse,best,1.0,0.66,0.09516962206800561
766,friedman_mse,best,6.0,0.1,0.09796112246676468
767,friedman_mse,best,1.0,0.29,0.09742342099399949
768,friedman_mse,best,2.0,0.75,0.09780562181927284
769,mse,random,1.0,0.57,0.09538406706635874
770,mse,best,8.0,0.37,0.10288855071925768
771,mse,best,2.0,0.31,0.09712959825422723
772,friedman_mse,random,6.0,0.5,0.09671909484321846
773,mae,best,1.0,0.21,0.09822090995494256
774,friedman_mse,random,9.0,0.43,0.10362409576765663
775,mse,random,5.0,0.36,0.09629946525799536
776,mae,random,9.0,0.8,0.14654111825589994
777,mae,random,1.0,0.51,0.09675500793909121
778,mae,random,1.0,0.35,0.0972019098182353
779,mae,random,7.0,0.75,0.0977916430321723
780,friedman_mse,best,9.0,0.29,0.1702521321166327
781,mae,best,3.0,0.16,0.09754940428439013
782,friedman_mse,random,4.0,0.38,0.09684964948480271
783,mae,random,6.0,0.11,0.09440000230493785
784,mae,best,9.0,0.9,0.10124344062563183
785,friedman_mse,best,2.0,0.44,0.09897013820101702
786,friedman_mse,random,6.0,0.67,0.09598411402281494
787,mae,best,,0.26,0.1010988796057413
788,friedman_mse,random,8.0,0.27,0.09580457645359967
789,mse,best,3.0,0.58,0.09629192981152138
790,friedman_mse,best,8.0,0.57,0.10107644742787783
791,friedman_mse,random,4.0,0.61,0.09607519024931888
792,friedman_mse,best,8.0,0.37,0.12645927768548212
793,mae,random,8.0,0.7,0.09705374767329988
794,mse,best,3.0,0.41,0.09585091330980705
795,friedman_mse,best,8.0,0.47,0.09692197599800371
796,mse,best,6.0,0.38,0.09818601316418132
797,mae,best,3.0,0.33,0.09557957201476576
798,friedman_mse,best,2.0,0.16,0.09713371693457137
799,mse,random,,0.75,0.09734362366496303
800,mse,best,2.0,0.22,0.09615058907309999
801,mae,random,7.0,0.86,0.1020006878830755
802,mse,random,,0.29,0.09636303109157976
803,mae,best,4.0,0.47,0.09926159405150425
804,mse,best,6.0,0.65,0.09888101762016485
805,friedman_mse,best,5.0,0.94,0.14930386787579183
806,mae,best,,0.17,0.10134125951189348
807,mae,best,4.0,0.25,0.09662709034991364
808,mse,best,7.0,0.72,0.22794068614980287
809,friedman_mse,best,5.0,0.75,0.09562700686590384
810,mse,best,3.0,0.63,0.09984340927337358
811,mse,best,1.0,0.15,0.09621321873736269
812,mse,random,1.0,0.3,0.09533448513133294
813,mse,random,7.0,0.77,0.09630582610202724
814,friedman_mse,best,3.0,0.98,0.09821268079921347
815,friedman_mse,random,4.0,0.3,0.09619100823471712
816,mae,best,5.0,0.1,0.10803740999427343
817,mae,random,1.0,0.78,0.09699036076606715
818,mae,random,1.0,0.87,0.09808174669217601
819,friedman_mse,best,6.0,0.42,0.09752561337593232
820,friedman_mse,best,9.0,0.48,0.11944920456872597
821,mse,best,9.0,0.97,0.09588996957419431
822,friedman_mse,best,4.0,0.33,0.09651677651305535
823,mse,best,4.0,0.63,0.09972268048493538
824,friedman_mse,random,6.0,0.39,0.09646115933458307
825,mse,random,1.0,0.96,0.09659834705577802
826,mse,random,7.0,0.12,0.09874113041054487
827,mse,best,9.0,0.45,0.09643981622855163
828,mae,random,7.0,0.37,0.09678834592394632
829,mae,random,2.0,0.44,0.09739180829448807
830,mse,best,6.0,0.91,0.09665572407110139
831,mae,random,8.0,0.62,0.09702138994177802
832,mae,best,,0.43,0.10427323932688363
833,mse,random,,0.21,0.09712888067159543
834,mae,random,5.0,0.48,0.0976301810204926
835,mse,best,9.0,0.81,0.12870879385979853
836,mae,random,8.0,0.68,0.09541533150033103
837,friedman_mse,random,4.0,0.57,0.09511728309009956
838,mse,best,7.0,0.41,0.09847388805347605
839,friedman_mse,best,5.0,0.82,0.09746721266511756
840,friedman_mse,best,1.0,0.29,0.09545690834701803
841,friedman_mse,best,2.0,0.34,0.09614192808412121
842,mae,random,2.0,0.52,0.09737846853113606
843,mse,random,3.0,0.61,0.09693040835737503
844,friedman_mse,random,4.0,0.59,0.0972993771507581
845,mse,random,4.0,0.62,0.09774857054722981
846,mae,best,1.0,0.39,0.10077925623816188
847,mae,best,2.0,0.24,0.09358296559364167
848,mse,best,7.0,0.25,0.09646529584146392
849,friedman_mse,best,,0.17,0.17530418231995812
850,friedman_mse,best,8.0,0.42,0.09983811216658635
851,friedman_mse,best,3.0,0.92,0.09601074530986312
852,friedman_mse,best,,0.61,0.09753204685679351
853,friedman_mse,random,8.0,0.86,0.09587549602851354
854,mae,random,5.0,0.27,0.09567355928754422
855,friedman_mse,best,2.0,0.81,0.09656145009305035
856,mse,best,5.0,0.54,0.096225750537094
857,mae,random,6.0,0.65,0.10088664308020064
858,mse,best,9.0,0.48,0.10099851380675566
859,mae,random,9.0,0.89,0.12115979359960945
860,mae,random,7.0,0.57,0.09651590114658681
861,friedman_mse,best,2.0,0.67,0.10401673587761207
862,mse,random,3.0,0.7,0.09679946175107859
863,friedman_mse,random,7.0,0.31,0.09626930810794188
864,mse,random,4.0,0.62,0.09750617638116581
865,mae,best,1.0,0.72,0.09830239959002111
866,mae,best,2.0,0.95,0.09860554665901886
867,mae,best,5.0,0.58,0.10398787517204143
868,friedman_mse,best,,0.36,0.09660351598666968
869,mae,best,,0.27,0.17755987277472093
870,mae,random,5.0,0.98,0.09609254178091339
871,mse,random,2.0,0.88,0.09575915868632785
872,mse,best,2.0,0.49,0.09721043293745488
873,mae,random,,0.91,0.0979957375375815
874,friedman_mse,random,1.0,0.73,0.09622853928630869
875,friedman_mse,best,1.0,0.5,0.09605471993895388
876,friedman_mse,random,4.0,0.69,0.09562156787977291
877,mae,best,7.0,0.51,0.09916555883427128
878,mse,random,8.0,0.83,0.09658344104231928
879,mse,random,2.0,0.28,0.09707736145433801
880,mae,random,1.0,0.52,0.09595862730555013
881,mae,random,4.0,0.48,0.09700183989144516
882,mae,best,8.0,0.47,0.09892817779246123
883,friedman_mse,best,6.0,0.22,0.10256695982053493
884,mae,random,1.0,0.65,0.09505647968058181
885,mae,best,2.0,0.85,0.09705796820758827
886,mse,best,,0.52,0.09669418533438925
887,mae,best,1.0,0.55,0.09556148886357999
888,mae,best,7.0,0.4,0.11438305304212973
889,mae,best,6.0,0.98,0.11253100738273004
890,friedman_mse,random,5.0,0.11,0.10621577054948524
891,mse,random,5.0,0.33,0.09841897369668227
892,mse,best,5.0,0.3,0.11841431413873739
893,friedman_mse,random,7.0,0.75,0.09685254537140107
894,mae,random,,0.86,0.10075210154072624
895,mae,best,9.0,0.45,0.15082502369308964
896,mse,random,7.0,0.79,0.09923955802449566
897,mse,random,3.0,0.68,0.09564813086837802
898,mse,random,9.0,0.28,0.11592494012914449
899,friedman_mse,random,9.0,0.96,0.0943716328208557
900,friedman_mse,best,,0.37,0.10201704616915147
901,mae,random,2.0,0.61,0.1006750567784729
902,friedman_mse,random,4.0,0.67,0.09693713028462506
903,mse,best,4.0,0.56,0.09575310907588307
904,mae,random,6.0,0.53,0.0951284682763689
905,friedman_mse,best,4.0,0.18,0.10002083831839331
906,mse,best,2.0,0.87,0.09558260878602405
907,friedman_mse,random,8.0,0.48,0.10059877128649411
908,mae,random,7.0,0.68,0.09796894759442973
909,mae,best,5.0,0.84,0.11270920540708887
910,mse,random,9.0,0.25,0.09542532066002853
911,friedman_mse,best,2.0,0.2,0.09564633851545597
912,mse,best,5.0,0.33,0.09826351548795653
913,mse,best,,0.41,0.1207301288445627
914,mse,random,2.0,0.88,0.12676388605676894
915,friedman_mse,best,4.0,0.92,0.10316545026868817
916,mse,best,3.0,0.33,0.09705516787592108
917,mae,random,2.0,0.15,0.09673719040014798
918,mse,best,3.0,0.62,0.09831355468996876
919,friedman_mse,best,9.0,0.32,0.10582429121423059
920,mse,best,4.0,0.57,0.10401779136326862
921,mse,best,4.0,0.58,0.09825715080204048
922,mse,random,9.0,0.22,0.09599439197844709
923,friedman_mse,best,2.0,0.3,0.09558898559202057
924,mse,best,4.0,0.32,0.09869979333679241
925,mse,best,,0.11,0.09484412593271083
926,mae,best,8.0,0.44,0.1380483648791594
927,mse,random,2.0,0.25,0.09531203979534694
928,friedman_mse,random,8.0,0.89,0.09671256798181409
929,mse,best,1.0,0.39,0.09701440262591882
930,friedman_mse,best,6.0,0.21,0.10030238451604001
931,mae,random,9.0,0.99,0.10115910929996921
932,mae,random,7.0,0.57,0.10110313787526468
933,mse,random,6.0,0.97,0.09795694159109163
934,mae,best,3.0,0.3,0.09639782381493492
935,friedman_mse,random,,0.55,0.1277920957809659
936,mae,random,5.0,0.61,0.09715445141897364
937,mae,random,9.0,0.89,0.0973811405893318
938,friedman_mse,best,9.0,0.71,0.10429514318338538
939,mse,best,,0.23,0.09861395528820914
940,friedman_mse,best,,0.16,0.09834604753471449
941,friedman_mse,best,,0.49,0.11886481185250879
942,mae,best,4.0,0.99,0.10850379282504255
943,mae,best,7.0,0.74,0.10090709002253069
944,friedman_mse,random,7.0,0.38,0.097237262813227
945,mae,random,1.0,0.79,0.09561720809014386
946,mse,best,9.0,0.32,0.09751200948322004
947,mse,best,,0.27,0.15963553748193984
948,mae,random,7.0,0.42,0.09802501978024787
949,mae,random,,0.99,0.17129822922661464
950,mse,random,9.0,0.5,0.10155697598611257
951,mae,random,5.0,0.35,0.09675605977981619
952,friedman_mse,random,2.0,0.27,0.09660171810262512
953,mae,best,8.0,0.29,0.09607125073598659
954,friedman_mse,best,,0.22,0.17316114712704236
955,mae,random,2.0,0.57,0.09687411423634912
956,mae,best,3.0,0.92,0.09926547321633473
957,friedman_mse,random,4.0,0.81,0.1055061234221384
958,friedman_mse,best,6.0,0.43,0.1013342985940416
959,friedman_mse,best,7.0,0.71,0.09597259370269165
960,mae,best,1.0,0.49,0.09545135652351171
961,friedman_mse,random,4.0,0.87,0.0994455929422842
962,mse,best,6.0,0.58,0.09673417997003288
963,mae,best,9.0,0.33,0.10234083334507137
964,friedman_mse,random,9.0,0.91,0.09685700626840338
965,friedman_mse,best,9.0,0.55,0.10008704672099371
966,friedman_mse,random,7.0,0.24,0.09834367061344436
967,friedman_mse,best,2.0,0.16,0.0971427634816597
968,mae,random,,0.11,0.11553838495356011
969,friedman_mse,best,1.0,0.17,0.09671473865794976
970,mse,random,8.0,0.28,0.09592962208861498
971,mse,best,2.0,0.59,0.09669997550993771
972,mse,random,7.0,0.86,0.09671553533303354
973,mae,random,5.0,0.1,0.09631904238447904
974,friedman_mse,best,8.0,0.31,0.09914117599668279
975,friedman_mse,best,3.0,0.95,0.09844270253033913
976,mae,random,5.0,0.7,0.09639890366050563
977,mae,random,2.0,0.54,0.0960952431094261
978,mae,best,3.0,0.33,0.10088196650242891
979,friedman_mse,random,1.0,0.96,0.09524005565505043
980,mse,random,6.0,0.92,0.0967223150998552
981,mse,best,2.0,0.62,0.11133196406120015
982,mae,random,6.0,0.91,0.09756967629420474
983,friedman_mse,random,6.0,0.16,0.09683706660542843
984,mse,best,2.0,0.43,0.12739283201863325
985,friedman_mse,random,9.0,0.39,0.10004739199224037
986,mae,best,5.0,0.52,0.09736547057780978
987,mse,best,2.0,0.95,0.1046521576876619
988,friedman_mse,random,,0.38,0.11825124948328501
989,mse,best,4.0,0.34,0.09505939277949074
990,friedman_mse,random,8.0,0.49,0.096257396853643
991,mae,best,4.0,0.95,0.09687145024265612
992,friedman_mse,best,2.0,0.8,0.09625299885516704
993,friedman_mse,best,1.0,0.11,0.09686884406654704
994,friedman_mse,best,2.0,0.75,0.09644229821849558
995,mse,best,5.0,0.57,0.09898992073158717
996,mse,random,9.0,0.16,0.09727087276957881
997,mse,random,6.0,0.31,0.09561389572032428
998,mse,random,8.0,0.42,0.10053394450120509
999,mae,best,2.0,0.23,0.09765377577794399
